question_id,amazon.nova-lite-v1:0,amazon.nova-micro-v1:0,amazon.nova-pro-v1:0,azerogpt,chatgpt-4o-latest-2025-01-29,chatgpt-4o-latest-2025-03-27,claude-3-5-haiku-20241022,claude-3-5-sonnet-20241022,claude-3-7-sonnet-20250219-base,claude-3-7-sonnet-20250219-thinking-64k,claude-3-opus-20240229,command-r-08-2024,command-r-plus-08-2024,deepseek-r1,deepseek-r1-distill-llama-70b,deepseek-r1-distill-qwen-32b,deepseek-v3,deepseek-v3-0324,dracarys2-72b-instruct,dracarys2-llama-3.1-70b-instruct,gemini-1.5-pro-002,gemini-2.0-flash-001,gemini-2.0-flash-exp,gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-preview-02-05,gemini-2.0-flash-thinking-exp-01-21,gemini-2.0-flash-thinking-exp-1219,gemini-2.0-pro-exp-02-05,gemini-2.5-pro-exp-03-25,gemini-exp-1206,gemma-2-27b-it,gemma-3-27b-it,gpt-4.5-preview-2025-02-27,gpt-4o-2024-08-06,gpt-4o-2024-11-20,gpt-4o-mini-2024-07-18,grok-2-1212,grok-beta,hunyuan-turbos-20250313,learnlm-1.5-pro-experimental,llama-3.3-70b-instruct-turbo,meta-llama-3.1-405b-instruct-turbo,meta-llama-3.1-70b-instruct-turbo,meta-llama-3.1-8b-instruct-turbo,mistral-large-2411,mistral-small-2409,mistral-small-2501,mistral-small-2503,o1-2024-12-17-high,o1-mini-2024-09-12,o3-mini-2025-01-31-high,o3-mini-2025-01-31-low,o3-mini-2025-01-31-medium,qwen2.5-max,qwq-32b,qwq-32b-preview,step-2-16k-202411,category,task
009f4f7e8275c73de2eae601d76ff7163f613880788d870c1484b1c2a1383fbd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coding,coding_completion
0119bdbf9e79f05e988b6d3408e2fdc0b7e4bc11e81ff9f24bed96268c503801,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,coding,coding_completion
01c73e7f5bd7b486915f97829994aca9b95d6116c510d9f3781b5399dea066bd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,coding,LCB_generation
02af5e41681a8e07cb79f87ba76a79f75210e2887e0dc3006f913a952d25dd00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,language,typos
030471ea2fc50a29f82560555033ceaec6b127c9ad0f68d34565ba221279d54b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,coding,coding_completion
032e5f4f783412d63296cc024f9b72799491127b20cbccafe1f8430091cd16ea,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,language,typos
03741bcada4e970eedeb7f28fdf45c496779b98f3df8e513f992a51cf072f67c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,coding,LCB_generation
03ce31e3890bffe51d1fea02c6266b9094b164f2832c5afe5f2717b5834b01c1,0.09375,0.0,0.25,0.09375,0.34375,0.28125,0.1875,0.65625,0.75,0.8125,0.5625,0.0625,0.125,0.1875,0.09375,0.21875,0.15625,0.21875,0.3125,0.1875,0.25,0.28125,0.21875,0.21875,0.15625,0.25,0.21875,0.5,0.46875,0.5625,0.125,0.21875,0.5,0.34375,0.40625,0.21875,0.34375,0.21875,0.34375,0.28125,0.28125,0.46875,0.15625,0.09375,0.15625,0.15625,0.1875,0.3125,0.4375,0.125,0.125,0.03125,0.125,0.5,0.0625,0.25,0.40625,language,plot_unscrambling
042b958543e9a61fd083dfd6067a91845b8e272295a282512ec9b527cff2e113,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,coding,LCB_generation
046601bdd1274c0534eb30b1616c5d6972d5aa3e23fa560aca460d3b3595c9fc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,language,typos
