instance_id,repo,difficulty,created_at,ps_len,patch_len,test_patch_len,n_files
astropy__astropy-12907,astropy/astropy,15 min - 1 hour,2022-03-03T15:14:54Z,1246,470,1415,1
astropy__astropy-13033,astropy/astropy,15 min - 1 hour,2022-03-31T23:28:27Z,2790,1486,910,1
astropy__astropy-13236,astropy/astropy,15 min - 1 hour,2022-05-09T14:16:30Z,2057,853,3866,1
astropy__astropy-13398,astropy/astropy,1-4 hours,2022-06-24T15:22:11Z,5323,13884,7533,4
astropy__astropy-13453,astropy/astropy,15 min - 1 hour,2022-07-14T10:04:40Z,7910,512,1286,1
astropy__astropy-13579,astropy/astropy,1-4 hours,2022-08-26T15:06:53Z,4822,1023,1330,1
astropy__astropy-13977,astropy/astropy,15 min - 1 hour,2022-11-01T22:24:58Z,3762,5777,5645,1
astropy__astropy-14096,astropy/astropy,15 min - 1 hour,2022-12-04T17:06:07Z,982,728,1001,1
astropy__astropy-14182,astropy/astropy,15 min - 1 hour,2022-12-16T11:13:37Z,1871,2186,1311,1
astropy__astropy-14309,astropy/astropy,<15 min fix,2023-01-23T22:34:01Z,4910,592,895,1
astropy__astropy-14365,astropy/astropy,15 min - 1 hour,2023-02-06T19:20:34Z,1339,955,1194,1
astropy__astropy-14369,astropy/astropy,1-4 hours,2023-02-06T21:56:51Z,2597,12099,1100,2
astropy__astropy-14508,astropy/astropy,15 min - 1 hour,2023-03-09T11:08:51Z,2629,1517,1236,1
astropy__astropy-14539,astropy/astropy,15 min - 1 hour,2023-03-16T18:45:19Z,1463,481,3599,1
astropy__astropy-14598,astropy/astropy,15 min - 1 hour,2023-03-29T10:34:49Z,2651,963,1044,1
astropy__astropy-14995,astropy/astropy,<15 min fix,2023-06-27T19:48:18Z,2455,869,1900,1
astropy__astropy-7166,astropy/astropy,<15 min fix,2018-02-07T15:05:31Z,162,1165,822,1
astropy__astropy-7336,astropy/astropy,<15 min fix,2018-03-28T15:31:32Z,1572,709,11922,1
astropy__astropy-7606,astropy/astropy,15 min - 1 hour,2018-06-29T16:27:46Z,1052,1062,545,1
astropy__astropy-7671,astropy/astropy,15 min - 1 hour,2018-07-20T19:37:49Z,1916,910,599,1
astropy__astropy-8707,astropy/astropy,15 min - 1 hour,2019-05-15T13:21:19Z,840,5131,1407,2
astropy__astropy-8872,astropy/astropy,15 min - 1 hour,2019-06-19T20:34:56Z,887,1674,963,1
django__django-10097,django/django,<15 min fix,2018-06-26T23:30:51Z,2656,562,1261,1
django__django-10554,django/django,1-4 hours,2018-10-24T14:24:45Z,2909,1554,1795,2
django__django-10880,django/django,<15 min fix,2019-01-21T00:22:36Z,278,609,994,1
django__django-10914,django/django,<15 min fix,2019-01-30T13:13:20Z,1021,582,591,1
django__django-10973,django/django,15 min - 1 hour,2019-02-11T01:19:56Z,357,2434,4184,1
django__django-10999,django/django,<15 min fix,2019-02-16T07:44:50Z,616,520,943,1
django__django-11066,django/django,<15 min fix,2019-03-09T13:03:14Z,1867,746,2136,1
django__django-11087,django/django,15 min - 1 hour,2019-03-16T22:59:57Z,9252,3186,2661,1
django__django-11095,django/django,15 min - 1 hour,2019-03-19T15:17:28Z,381,945,1594,1
django__django-11099,django/django,<15 min fix,2019-03-20T03:46:18Z,764,808,989,1
django__django-11119,django/django,<15 min fix,2019-03-24T21:17:05Z,369,492,555,1
django__django-11133,django/django,<15 min fix,2019-03-27T06:48:09Z,895,581,552,1
django__django-11138,django/django,1-4 hours,2019-03-28T13:11:56Z,3135,7548,4013,4
django__django-11141,django/django,15 min - 1 hour,2019-03-28T20:49:53Z,829,1519,1504,1
django__django-11149,django/django,15 min - 1 hour,2019-03-30T18:14:35Z,783,4267,5333,1
django__django-11163,django/django,<15 min fix,2019-04-02T21:46:42Z,408,534,814,1
django__django-11179,django/django,<15 min fix,2019-04-05T15:54:39Z,283,579,986,1
django__django-11206,django/django,15 min - 1 hour,2019-04-13T10:19:38Z,698,831,599,1
django__django-11211,django/django,15 min - 1 hour,2019-04-13T12:01:14Z,959,527,2633,1
django__django-11239,django/django,<15 min fix,2019-04-16T09:44:54Z,1056,1270,3029,1
django__django-11265,django/django,15 min - 1 hour,2019-04-21T12:57:28Z,3810,1668,674,1
django__django-11276,django/django,15 min - 1 hour,2019-04-24T12:35:05Z,1120,2760,19182,1
django__django-11292,django/django,15 min - 1 hour,2019-04-27T14:23:07Z,401,1713,802,1
django__django-11299,django/django,<15 min fix,2019-04-28T11:15:08Z,3040,666,2870,1
django__django-11333,django/django,15 min - 1 hour,2019-05-06T21:00:53Z,1493,1236,1109,2
django__django-11400,django/django,1-4 hours,2019-05-22T11:30:39Z,799,3224,6720,3
django__django-11433,django/django,<15 min fix,2019-05-31T17:06:20Z,586,946,1430,1
django__django-11451,django/django,<15 min fix,2019-06-08T19:11:42Z,2067,575,1039,1
django__django-11477,django/django,15 min - 1 hour,2019-06-14T17:40:45Z,225,610,3941,1
django__django-11490,django/django,<15 min fix,2019-06-19T07:47:46Z,457,675,689,1
django__django-11532,django/django,15 min - 1 hour,2019-07-02T10:29:28Z,2666,4525,1231,5
django__django-11551,django/django,15 min - 1 hour,2019-07-09T22:28:45Z,5413,2499,1382,1
django__django-11555,django/django,<15 min fix,2019-07-10T18:07:07Z,748,630,1852,1
django__django-11603,django/django,<15 min fix,2019-07-28T18:14:23Z,396,584,1230,1
django__django-11728,django/django,15 min - 1 hour,2019-08-29T17:31:03Z,499,3304,929,1
django__django-11734,django/django,15 min - 1 hour,2019-09-01T18:46:50Z,832,2077,1810,3
django__django-11740,django/django,15 min - 1 hour,2019-09-03T10:44:38Z,1973,1777,1599,1
django__django-11749,django/django,15 min - 1 hour,2019-09-05T21:47:44Z,1249,1022,1800,1
django__django-11790,django/django,15 min - 1 hour,2019-09-17T14:33:44Z,465,806,1027,1
django__django-11815,django/django,15 min - 1 hour,2019-09-24T21:45:36Z,1601,739,4548,1
django__django-11820,django/django,<15 min fix,2019-09-26T08:37:14Z,343,919,1686,1
django__django-11848,django/django,15 min - 1 hour,2019-09-28T04:28:22Z,626,869,2236,1
django__django-11880,django/django,<15 min fix,2019-10-07T19:10:59Z,1078,427,902,1
django__django-11885,django/django,1-4 hours,2019-10-08T15:22:07Z,1296,10818,707,2
django__django-11951,django/django,<15 min fix,2019-10-21T09:35:46Z,609,901,1029,1
django__django-11964,django/django,<15 min fix,2019-10-23T14:16:45Z,2353,559,605,1
django__django-11999,django/django,15 min - 1 hour,2019-10-31T10:39:18Z,512,870,730,1
django__django-12039,django/django,15 min - 1 hour,2019-11-06T21:14:34Z,1245,1268,2267,1
django__django-12050,django/django,15 min - 1 hour,2019-11-10T08:53:45Z,347,1412,630,1
django__django-12125,django/django,<15 min fix,2019-11-22T12:55:45Z,1589,546,2076,1
django__django-12143,django/django,15 min - 1 hour,2019-11-25T14:38:30Z,1437,745,1508,1
django__django-12155,django/django,15 min - 1 hour,2019-11-28T16:24:23Z,777,2268,2107,2
django__django-12193,django/django,<15 min fix,2019-12-08T01:38:25Z,773,525,1521,1
django__django-12209,django/django,<15 min fix,2019-12-12T04:11:05Z,1200,464,1621,1
django__django-12262,django/django,15 min - 1 hour,2019-12-30T13:13:59Z,1030,680,4224,1
django__django-12273,django/django,15 min - 1 hour,2020-01-03T18:47:56Z,926,563,2313,1
django__django-12276,django/django,<15 min fix,2020-01-05T08:04:40Z,604,839,3063,1
django__django-12304,django/django,<15 min fix,2020-01-09T15:43:51Z,580,510,859,1
django__django-12308,django/django,<15 min fix,2020-01-12T04:21:15Z,459,684,1230,1
django__django-12325,django/django,1-4 hours,2020-01-15T14:02:25Z,900,1614,3809,2
django__django-12406,django/django,15 min - 1 hour,2020-02-02T16:34:05Z,1066,2165,3151,2
django__django-12419,django/django,<15 min fix,2020-02-05T10:02:56Z,680,399,542,1
django__django-12663,django/django,15 min - 1 hour,2020-04-04T18:58:49Z,2854,580,2104,1
django__django-12708,django/django,1-4 hours,2020-04-12T22:20:59Z,959,850,3447,1
django__django-12713,django/django,15 min - 1 hour,2020-04-13T23:57:12Z,257,1986,1690,1
